       Čas    Pozicija X    Pozicija Y     Hitrost  Dejanska hitrost      Smer   Razdalja do B   Odmik od trase
     [min]      [100 km]      [100 km]      [km/h]            [km/h]       [°]        [100 km]         [100 km]
---------------------------------------------------------------------------------------------------------------
       157        0.5090        0.6799       30.00             26.26      53.1         4.15070         0.000689
       158        0.5123        0.6827       30.00             26.26      53.1         4.14642         0.000230
       159        0.5156        0.6856       30.00             26.26      53.1         4.14214         0.001147
       160        0.5189        0.6885       30.00             26.26      53.1         4.13786         0.002064
       161        0.5222        0.6913       30.00             26.26      53.2         4.13358         0.002979
       162        0.5255        0.6942       30.00             26.26      53.2         4.12930         0.003893
       163        0.5288        0.6971       30.00             26.26      53.2         4.12502         0.004806
       164        0.5321        0.7000       30.00             26.25      53.2         4.12075         0.005718
       165        0.5354        0.7029       30.00             26.25      53.2         4.11647         0.006629
       166        0.5387        0.7057       30.00             26.25      53.2         4.11219         0.007538
       167        0.5420        0.7086       30.00             26.25      53.2         4.10791         0.008447
       168        0.5453        0.7115       30.00             26.25      53.2         4.10363         0.009354
       169        0.5486        0.7144       30.00             26.25      53.3         4.09936         0.010261
       170        0.5519        0.7172       30.00             26.25      53.3         4.09508         0.011166
       171        0.5552        0.7201       30.00             26.24      53.3         4.09080         0.012070
       172        0.5585        0.7230       30.00             26.24      53.3         4.08652         0.012973
       173        0.5618        0.7259       30.00             26.24      53.3         4.08225         0.013875
       174        0.5651        0.7288       30.00             26.24      53.3         4.07797         0.014775
       175        0.5683        0.7317       30.00             26.24      53.3         4.07370         0.015675
       176        0.5716        0.7345       30.00             26.24      53.4         4.06942         0.016574
       177        0.5749        0.7374       30.00             26.24      53.4         4.06514         0.017471
       178        0.5782        0.7403       30.00             26.23      53.4         4.06087         0.018367
       179        0.5815        0.7432       30.00             26.23      53.4         4.05659         0.019262
       180        0.5848        0.7461       30.00             26.23      53.4         4.05232         0.020156
       181        0.5877        0.7498       30.00             28.42      53.4         4.04759         0.020331
       182        0.5907        0.7535       30.00             28.42      53.4         4.04285         0.020506
       183        0.5937        0.7571       30.00             28.42      53.4         4.03812         0.020681
       184        0.5967        0.7608       30.00             28.42      53.4         4.03339         0.020855
       185        0.5997        0.7645       30.00             28.42      53.4         4.02866         0.021029
       186        0.6026        0.7682       30.00             28.42      53.4         4.02392         0.021203
       187        0.6056        0.7719       30.00             28.42      53.4         4.01919         0.021377
       188        0.6086        0.7755       30.00             28.42      53.4         4.01446         0.021550
       189        0.6116        0.7792       30.00             28.42      53.4         4.00973         0.021723
       190        0.6146        0.7829       30.00             28.42      53.4         4.00499         0.021896
       191        0.6175        0.7866       30.00             28.42      53.4         4.00026         0.022069
       192        0.6205        0.7903       30.00             28.42      53.4         3.99553         0.022241
       193        0.6235        0.7940       30.00             28.42      53.4         3.99080         0.022414
       194        0.6265        0.7976       30.00             28.42      53.5         3.98607         0.022586
       195        0.6294        0.8013       30.00             28.42      53.5         3.98133         0.022757
       196        0.6324        0.8050       30.00             28.42      53.5         3.97660         0.022929
       197        0.6354        0.8087       30.00             28.42      53.5         3.97187         0.023100
       198        0.6384        0.8124       30.00             28.42      53.5         3.96714         0.023271
       199        0.6414        0.8161       30.00             28.42      53.5         3.96240         0.023441
       200        0.6443        0.8198       30.00             28.42      53.5         3.95767         0.023612
       201        0.6473        0.8234       30.00             28.42      53.5         3.95294         0.023782
       202        0.6503        0.8271       30.00             28.42      53.5         3.94821         0.023952
       203        0.6533        0.8308       30.00             28.42      53.5         3.94348         0.024122
       204        0.6562        0.8345       30.00             28.42      53.5         3.93874         0.024291
       205        0.6592        0.8382       30.00             28.42      53.5         3.93401         0.024460
       206        0.6622        0.8419       30.00             28.42      53.5         3.92928         0.024629
       207        0.6652        0.8455       30.00             28.42      53.5         3.92455         0.024798
       208        0.6681        0.8492       30.00             28.42      53.5         3.91982         0.024966
       209        0.6711        0.8529       30.00             28.42      53.5         3.91508         0.025134
       210        0.6741        0.8566       30.00             28.42      53.5         3.91035         0.025302
       211        0.6771        0.8603       30.00             28.42      53.5         3.90562         0.025470
       212        0.6800        0.8640       30.00             28.42      53.5         3.90089         0.025637
       213        0.6830        0.8677       30.00             28.42      53.5         3.89616         0.025804
       214        0.6860        0.8713       30.00             28.42      53.5         3.89142         0.025971
       215        0.6889        0.8750       30.00             28.42      53.5         3.88669         0.026138
       216        0.6919        0.8787       30.00             28.42      53.5         3.88196         0.026304
       217        0.6949        0.8824       30.00             28.42      53.5         3.87723         0.026470
       218        0.6979        0.8861       30.00             28.42      53.5         3.87250         0.026636
       219        0.7008        0.8898       30.00             28.42      53.5         3.86776         0.026802
       220        0.7038        0.8935       30.00             28.42      53.5         3.86303         0.026967
       221        0.7068        0.8972       30.00             28.42      53.5         3.85830         0.027132
       222        0.7098        0.9008       30.00             28.42      53.5         3.85357         0.027297
       223        0.7127        0.9045       30.00             28.42      53.5         3.84884         0.027462
       224        0.7157        0.9082       30.00             28.42      53.5         3.84410         0.027626
       225        0.7187        0.9119       30.00             28.42      53.5         3.83937         0.027790
       226        0.7216        0.9156       30.00             28.42      53.5         3.83464         0.027954
       227        0.7246        0.9193       30.00             28.42      53.5         3.82991         0.028117
       228        0.7276        0.9230       30.00             28.42      53.6         3.82518         0.028281
       229        0.7306        0.9267       30.00             28.42      53.6         3.82044         0.028444
       230        0.7335        0.9304       30.00             28.42      53.6         3.81571         0.028607
       231        0.7365        0.9340       30.00             28.42      53.6         3.81098         0.028769
       232        0.7395        0.9377       30.00             28.42      53.6         3.80625         0.028931
       233        0.7424        0.9414       30.00             28.42      53.6         3.80152         0.029093
       234        0.7454        0.9451       30.00             28.42      53.6         3.79679         0.029255
       235        0.7484        0.9488       30.00             28.42      53.6         3.79205         0.029417
       236        0.7513        0.9525       30.00             28.42      53.6         3.78732         0.029578
       237        0.7543        0.9562       30.00             28.42      53.6         3.78259         0.029739
       238        0.7573        0.9599       30.00             28.42      53.6         3.77786         0.029899
       239        0.7602        0.9636       30.00             28.42      53.6         3.77313         0.030060
       240        0.7632        0.9672       30.00             28.42      53.6         3.76839         0.030220
       241        0.7648        0.9713       30.00             26.06      53.6         3.76419         0.029113
       242        0.7665        0.9753       30.00             26.06      53.6         3.75998         0.028008
       243        0.7681        0.9793       30.00             26.06      53.6         3.75577         0.026904
       244        0.7698        0.9833       30.00             26.05      53.5         3.75156         0.025802
       245        0.7714        0.9874       30.00             26.05      53.5         3.74736         0.024700
       246        0.7730        0.9914       30.00             26.05      53.5         3.74315         0.023601
       247        0.7747        0.9954       30.00             26.05      53.5         3.73894         0.022503
       248        0.7763        0.9994       30.00             26.04      53.5         3.73474         0.021406
       249        0.7780        1.0034       30.00             26.04      53.5         3.73053         0.020311
       250        0.7796        1.0075       30.00             26.04      53.4         3.72632         0.019217
       251        0.7813        1.0115       30.00             26.04      53.4         3.72212         0.018124
       252        0.7829        1.0155       30.00             26.04      53.4         3.71791         0.017033
       253        0.7845        1.0195       30.00             26.03      53.4         3.71371         0.015944
       254        0.7862        1.0235       30.00             26.03      53.4         3.70950         0.014855
       255        0.7878        1.0275       30.00             26.03      53.4         3.70530         0.013769
       256        0.7895        1.0315       30.00             26.03      53.3         3.70110         0.012684
       257        0.7912        1.0355       30.00             26.03      53.3         3.69689         0.011600
       258        0.7928        1.0395       30.00             26.02      53.3         3.69269         0.010517
       259        0.7945        1.0436       30.00             26.02      53.3         3.68849         0.009436
       260        0.7961        1.0476       30.00             26.02      53.3         3.68428         0.008357
       261        0.7978        1.0516       30.00             26.02      53.3         3.68008         0.007279
       262        0.7994        1.0556       30.00             26.01      53.2         3.67588         0.006202
       263        0.8011        1.0596       30.00             26.01      53.2         3.67168         0.005127
       264        0.8028        1.0636       30.00             26.01      53.2         3.66748         0.004054
       265        0.8044        1.0676       30.00             26.01      53.2         3.66328         0.002982
       266        0.8061        1.0716       30.00             26.01      53.2         3.65908         0.001911
       267        0.8077        1.0756       30.00             26.00      53.2         3.65488         0.000842
       268        0.8094        1.0796       30.00             26.00      53.1         3.65068         0.000226
       269        0.8111        1.0836       30.00             26.00      53.1         3.64648         0.001293
       270        0.8127        1.0876       30.00             26.00      53.1         3.64228         0.002358
       271        0.8144        1.0916       30.00             26.00      53.1         3.63808         0.003421
       272        0.8161        1.0956       30.00             25.99      53.1         3.63388         0.004483
       273        0.8178        1.0996       30.00             25.99      53.1         3.62968         0.005543
       274        0.8194        1.1036       30.00             25.99      53.0         3.62548         0.006602
       275        0.8211        1.1076       30.00             25.99      53.0         3.62128         0.007660
       276        0.8228        1.1116       30.00             25.98      53.0         3.61709         0.008716
       277        0.8245        1.1156       30.00             25.98      53.0         3.61289         0.009771
       278        0.8261        1.1196       30.00             25.98      53.0         3.60869         0.010824
       279        0.8278        1.1235       30.00             25.98      53.0         3.60449         0.011876
       280        0.8295        1.1275       30.00             25.98      52.9         3.60030         0.012926
       281        0.8312        1.1315       30.00             25.97      52.9         3.59610         0.013974
       282        0.8329        1.1355       30.00             25.97      52.9         3.59191         0.015022
       283        0.8345        1.1395       30.00             25.97      52.9         3.58771         0.016067
       284        0.8362        1.1435       30.00             25.97      52.9         3.58352         0.017112
       285        0.8379        1.1475       30.00             25.96      52.9         3.57932         0.018155
       286        0.8396        1.1515       30.00             25.96      52.8         3.57513         0.019196
       287        0.8413        1.1554       30.00             25.96      52.8         3.57093         0.020236
       288        0.8430        1.1594       30.00             25.96      52.8         3.56674         0.021274
       289        0.8447        1.1634       30.00             25.96      52.8         3.56255         0.022311
       290        0.8464        1.1674       30.00             25.95      52.8         3.55835         0.023346
       291        0.8481        1.1714       30.00             25.95      52.8         3.55416         0.024380
       292        0.8497        1.1753       30.00             25.95      52.7         3.54997         0.025412
       293        0.8514        1.1793       30.00             25.95      52.7         3.54577         0.026443
       294        0.8531        1.1833       30.00             25.95      52.7         3.54158         0.027473
       295        0.8548        1.1873       30.00             25.94      52.7         3.53739         0.028501
       296        0.8565        1.1913       30.00             25.94      52.7         3.53320         0.029527
       297        0.8582        1.1952       30.00             25.94      52.7         3.52901         0.030552
       298        0.8599        1.1992       30.00             25.94      52.6         3.52482         0.031575
       299        0.8616        1.2032       30.00             25.93      52.6         3.52063         0.032597
       300        0.8633        1.2071       30.00             25.93      52.6         3.51644         0.033617
       301        0.8678        1.2125       30.00             41.92      52.6         3.50946         0.033287
       302        0.8722        1.2179       30.00             41.92      52.6         3.50247         0.032957
       303        0.8767        1.2233       30.00             41.92      52.6         3.49549         0.032627
       304        0.8811        1.2287       30.00             41.92      52.6         3.48851         0.032297
       305        0.8856        1.2341       30.00             41.92      52.6         3.48153         0.031968
       306        0.8900        1.2395       30.00             41.92      52.6         3.47454         0.031639
       307        0.8945        1.2449       30.00             41.92      52.6         3.46756         0.031311
       308        0.8989        1.2502       30.00             41.92      52.6         3.46058         0.030983
       309        0.9034        1.2556       30.00             41.92      52.6         3.45360         0.030655
       310        0.9078        1.2610       30.00             41.92      52.6         3.44661         0.030328
       311        0.9123        1.2664       30.00             41.92      52.6         3.43963         0.030001
       312        0.9167        1.2718       30.00             41.92      52.6         3.43265         0.029675
       313        0.9212        1.2772       30.00             41.92      52.6         3.42567         0.029349
       314        0.9256        1.2826       30.00             41.92      52.6         3.41869         0.029023
       315        0.9301        1.2880       30.00             41.92      52.6         3.41170         0.028698
       316        0.9345        1.2933       30.00             41.92      52.6         3.40472         0.028373
       317        0.9390        1.2987       30.00             41.92      52.7         3.39774         0.028048
       318        0.9434        1.3041       30.00             41.92      52.7         3.39076         0.027724
       319        0.9479        1.3095       30.00             41.92      52.7         3.38377         0.027400
       320        0.9523        1.3149       30.00             41.92      52.7         3.37679         0.027077
       321        0.9568        1.3203       30.00             41.92      52.7         3.36981         0.026754
       322        0.9612        1.3257       30.00             41.92      52.7         3.36283         0.026432
       323        0.9657        1.3311       30.00             41.92      52.7         3.35585         0.026110
       324        0.9701        1.3365       30.00             41.92      52.7         3.34886         0.025788
       325        0.9746        1.3419       30.00             41.92      52.7         3.34188         0.025466
       326        0.9790        1.3472       30.00             41.92      52.7         3.33490         0.025145
       327        0.9834        1.3526       30.00             41.92      52.7         3.32792         0.024825
       328        0.9879        1.3580       30.00             41.92      52.7         3.32094         0.024505
       329        0.9923        1.3634       30.00             41.92      52.7         3.31395         0.024185
       330        0.9968        1.3688       30.00             41.92      52.7         3.30697         0.023866
       331        1.0012        1.3742       30.00             41.92      52.7         3.29999         0.023547
       332        1.0057        1.3796       30.00             41.92      52.7         3.29301         0.023228
       333        1.0101        1.3850       30.00             41.92      52.7         3.28603         0.022910
       334        1.0145        1.3904       30.00             41.92      52.7         3.27904         0.022592
       335        1.0190        1.3958       30.00             41.92      52.7         3.27206         0.022275
       336        1.0234        1.4012       30.00             41.92      52.7         3.26508         0.021958
       337        1.0279        1.4066       30.00             41.92      52.7         3.25810         0.021642
       338        1.0323        1.4120       30.00             41.92      52.7         3.25112         0.021326
       339        1.0368        1.4174       30.00             41.92      52.8         3.24414         0.021010
       340        1.0412        1.4227       30.00             41.92      52.8         3.23715         0.020695
       341        1.0456        1.4281       30.00             41.92      52.8         3.23017         0.020380
       342        1.0501        1.4335       30.00             41.92      52.8         3.22319         0.020066
       343        1.0545        1.4389       30.00             41.92      52.8         3.21621         0.019752
       344        1.0589        1.4443       30.00             41.92      52.8         3.20923         0.019438
       345        1.0634        1.4497       30.00             41.92      52.8         3.20225         0.019125
       346        1.0678        1.4551       30.00             41.92      52.8         3.19526         0.018812
       347        1.0723        1.4605       30.00             41.92      52.8         3.18828         0.018500
       348        1.0767        1.4659       30.00             41.92      52.8         3.18130         0.018188
       349        1.0811        1.4713       30.00             41.92      52.8         3.17432         0.017877
       350        1.0856        1.4767       30.00             41.92      52.8         3.16734         0.017566
       351        1.0900        1.4821       30.00             41.92      52.8         3.16036         0.017255
       352        1.0944        1.4875       30.00             41.92      52.8         3.15338         0.016945
       353        1.0989        1.4929       30.00             41.92      52.8         3.14639         0.016635
       354        1.1033        1.4983       30.00             41.92      52.8         3.13941         0.016326
       355        1.1078        1.5037       30.00             41.92      52.8         3.13243         0.016017
       356        1.1122        1.5091       30.00             41.92      52.8         3.12545         0.015709
       357        1.1166        1.5145       30.00             41.92      52.8         3.11847         0.015401
       358        1.1211        1.5199       30.00             41.92      52.8         3.11149         0.015093
       359        1.1255        1.5253       30.00             41.92      52.9         3.10451         0.014786
       360        1.1299        1.5307       30.00             41.92      52.9         3.09753         0.014480
