       Čas    Pozicija X    Pozicija Y     Hitrost  Dejanska hitrost      Smer   Razdalja do B   Odmik od trase
     [min]      [100 km]      [100 km]      [km/h]            [km/h]       [°]        [100 km]         [100 km]
---------------------------------------------------------------------------------------------------------------
       151        0.4873        0.6517       30.00             25.17      63.7         4.18622         0.001151
       152        0.4899        0.6551       30.00             25.17      63.7         4.18202         0.001149
       153        0.4924        0.6584       30.00             25.17      63.7         4.17783         0.001148
       154        0.4949        0.6618       30.00             25.17      63.7         4.17363         0.001147
       155        0.4974        0.6651       30.00             25.17      63.7         4.16944         0.001146
       156        0.4999        0.6685       30.00             25.17      63.7         4.16524         0.001145
       157        0.5025        0.6718       30.00             25.17      63.7         4.16105         0.001144
       158        0.5050        0.6752       30.00             25.17      63.7         4.15685         0.001142
       159        0.5075        0.6786       30.00             25.17      63.7         4.15266         0.001141
       160        0.5100        0.6819       30.00             25.17      63.7         4.14846         0.001140
       161        0.5125        0.6853       30.00             25.17      63.7         4.14427         0.001139
       162        0.5150        0.6886       30.00             25.17      63.7         4.14008         0.001138
       163        0.5176        0.6920       30.00             25.17      63.7         4.13588         0.001137
       164        0.5201        0.6953       30.00             25.17      63.7         4.13169         0.001136
       165        0.5226        0.6987       30.00             25.17      63.7         4.12749         0.001134
       166        0.5251        0.7020       30.00             25.17      63.7         4.12330         0.001133
       167        0.5276        0.7054       30.00             25.17      63.7         4.11910         0.001132
       168        0.5302        0.7088       30.00             25.17      63.7         4.11491         0.001131
       169        0.5327        0.7121       30.00             25.17      63.7         4.11071         0.001130
       170        0.5352        0.7155       30.00             25.17      63.7         4.10652         0.001129
       171        0.5377        0.7188       30.00             25.17      63.7         4.10232         0.001127
       172        0.5402        0.7222       30.00             25.17      63.7         4.09813         0.001126
       173        0.5427        0.7255       30.00             25.17      63.7         4.09393         0.001125
       174        0.5453        0.7289       30.00             25.17      63.7         4.08974         0.001124
       175        0.5478        0.7322       30.00             25.17      63.7         4.08554         0.001123
       176        0.5503        0.7356       30.00             25.17      63.7         4.08135         0.001122
       177        0.5528        0.7390       30.00             25.17      63.7         4.07715         0.001121
       178        0.5553        0.7423       30.00             25.17      63.7         4.07296         0.001119
       179        0.5578        0.7457       30.00             25.17      63.7         4.06876         0.001118
       180        0.5604        0.7490       30.00             25.17      63.7         4.06457         0.001117
       181        0.5630        0.7530       30.00             28.31      58.7         4.05986         0.001402
       182        0.5658        0.7567       30.00             28.38      55.4         4.05513         0.001400
       183        0.5686        0.7605       30.00             28.38      55.4         4.05040         0.001399
       184        0.5715        0.7643       30.00             28.38      55.4         4.04567         0.001397
       185        0.5743        0.7681       30.00             28.38      55.4         4.04094         0.001395
       186        0.5772        0.7719       30.00             28.38      55.4         4.03621         0.001394
       187        0.5800        0.7757       30.00             28.38      55.4         4.03148         0.001392
       188        0.5828        0.7794       30.00             28.38      55.4         4.02675         0.001390
       189        0.5857        0.7832       30.00             28.38      55.4         4.02202         0.001389
       190        0.5885        0.7870       30.00             28.38      55.4         4.01729         0.001387
       191        0.5914        0.7908       30.00             28.38      55.4         4.01256         0.001385
       192        0.5942        0.7946       30.00             28.38      55.4         4.00783         0.001384
       193        0.5970        0.7983       30.00             28.38      55.4         4.00310         0.001382
       194        0.5999        0.8021       30.00             28.38      55.4         3.99837         0.001381
       195        0.6027        0.8059       30.00             28.38      55.4         3.99365         0.001379
       196        0.6055        0.8097       30.00             28.38      55.4         3.98892         0.001377
       197        0.6084        0.8135       30.00             28.38      55.4         3.98419         0.001376
       198        0.6112        0.8173       30.00             28.38      55.4         3.97946         0.001374
       199        0.6141        0.8210       30.00             28.38      55.4         3.97473         0.001372
       200        0.6169        0.8248       30.00             28.38      55.4         3.97000         0.001371
       201        0.6197        0.8286       30.00             28.38      55.4         3.96527         0.001369
       202        0.6226        0.8324       30.00             28.38      55.4         3.96054         0.001368
       203        0.6254        0.8362       30.00             28.38      55.4         3.95581         0.001366
       204        0.6283        0.8400       30.00             28.38      55.4         3.95108         0.001364
       205        0.6311        0.8437       30.00             28.38      55.4         3.94635         0.001363
       206        0.6339        0.8475       30.00             28.38      55.4         3.94162         0.001361
       207        0.6368        0.8513       30.00             28.38      55.4         3.93689         0.001359
       208        0.6396        0.8551       30.00             28.38      55.4         3.93216         0.001358
       209        0.6425        0.8589       30.00             28.38      55.4         3.92743         0.001356
       210        0.6453        0.8626       30.00             28.38      55.4         3.92270         0.001354
       211        0.6481        0.8664       30.00             28.38      55.4         3.91797         0.001353
       212        0.6510        0.8702       30.00             28.38      55.4         3.91325         0.001351
       213        0.6538        0.8740       30.00             28.38      55.4         3.90852         0.001350
       214        0.6566        0.8778       30.00             28.38      55.4         3.90379         0.001348
       215        0.6595        0.8816       30.00             28.38      55.4         3.89906         0.001346
       216        0.6623        0.8853       30.00             28.38      55.4         3.89433         0.001345
       217        0.6652        0.8891       30.00             28.38      55.4         3.88960         0.001343
       218        0.6680        0.8929       30.00             28.38      55.4         3.88487         0.001341
       219        0.6708        0.8967       30.00             28.38      55.4         3.88014         0.001340
       220        0.6737        0.9005       30.00             28.38      55.4         3.87541         0.001338
       221        0.6765        0.9043       30.00             28.38      55.4         3.87068         0.001336
       222        0.6794        0.9080       30.00             28.38      55.4         3.86595         0.001335
       223        0.6822        0.9118       30.00             28.38      55.4         3.86122         0.001333
       224        0.6850        0.9156       30.00             28.38      55.4         3.85649         0.001332
       225        0.6879        0.9194       30.00             28.38      55.4         3.85176         0.001330
       226        0.6907        0.9232       30.00             28.38      55.4         3.84703         0.001328
       227        0.6936        0.9270       30.00             28.38      55.4         3.84230         0.001327
       228        0.6964        0.9307       30.00             28.38      55.4         3.83758         0.001325
       229        0.6992        0.9345       30.00             28.38      55.4         3.83285         0.001323
       230        0.7021        0.9383       30.00             28.38      55.4         3.82812         0.001322
       231        0.7049        0.9421       30.00             28.38      55.4         3.82339         0.001320
       232        0.7078        0.9459       30.00             28.38      55.4         3.81866         0.001319
       233        0.7106        0.9496       30.00             28.38      55.4         3.81393         0.001317
       234        0.7134        0.9534       30.00             28.38      55.4         3.80920         0.001315
       235        0.7163        0.9572       30.00             28.38      55.4         3.80447         0.001314
       236        0.7191        0.9610       30.00             28.38      55.4         3.79974         0.001312
       237        0.7219        0.9648       30.00             28.38      55.4         3.79501         0.001310
       238        0.7248        0.9686       30.00             28.38      55.4         3.79028         0.001309
       239        0.7276        0.9723       30.00             28.38      55.4         3.78555         0.001307
       240        0.7305        0.9761       30.00             28.38      55.4         3.78082         0.001305
       241        0.7323        0.9800       30.00             25.65      50.4         3.77663         0.002134
       242        0.7345        0.9835       30.00             25.04      45.4         3.77247         0.002529
       243        0.7369        0.9868       30.00             24.51      40.8         3.76839         0.002526
       244        0.7394        0.9901       30.00             24.51      40.8         3.76431         0.002523
       245        0.7419        0.9933       30.00             24.51      40.8         3.76022         0.002521
       246        0.7443        0.9966       30.00             24.51      40.8         3.75614         0.002518
       247        0.7468        0.9999       30.00             24.51      40.8         3.75205         0.002515
       248        0.7492        1.0031       30.00             24.51      40.8         3.74797         0.002512
       249        0.7517        1.0064       30.00             24.51      40.8         3.74388         0.002510
       250        0.7541        1.0097       30.00             24.51      40.8         3.73980         0.002507
       251        0.7566        1.0129       30.00             24.51      40.8         3.73572         0.002504
       252        0.7590        1.0162       30.00             24.51      40.8         3.73163         0.002501
       253        0.7615        1.0195       30.00             24.51      40.8         3.72755         0.002499
       254        0.7639        1.0227       30.00             24.51      40.8         3.72346         0.002496
       255        0.7664        1.0260       30.00             24.51      40.8         3.71938         0.002493
       256        0.7688        1.0293       30.00             24.51      40.8         3.71529         0.002490
       257        0.7713        1.0325       30.00             24.51      40.8         3.71121         0.002488
       258        0.7737        1.0358       30.00             24.51      40.8         3.70713         0.002485
       259        0.7762        1.0391       30.00             24.51      40.8         3.70304         0.002482
       260        0.7786        1.0423       30.00             24.51      40.8         3.69896         0.002479
       261        0.7811        1.0456       30.00             24.51      40.8         3.69487         0.002477
       262        0.7835        1.0489       30.00             24.51      40.8         3.69079         0.002474
       263        0.7860        1.0521       30.00             24.51      40.8         3.68670         0.002471
       264        0.7885        1.0554       30.00             24.51      40.8         3.68262         0.002469
       265        0.7909        1.0587       30.00             24.51      40.8         3.67854         0.002466
       266        0.7934        1.0619       30.00             24.51      40.8         3.67445         0.002463
       267        0.7958        1.0652       30.00             24.51      40.8         3.67037         0.002460
       268        0.7983        1.0684       30.00             24.51      40.8         3.66628         0.002458
       269        0.8007        1.0717       30.00             24.51      40.8         3.66220         0.002455
       270        0.8032        1.0750       30.00             24.51      40.8         3.65811         0.002452
       271        0.8056        1.0782       30.00             24.51      40.8         3.65403         0.002449
       272        0.8081        1.0815       30.00             24.51      40.8         3.64995         0.002447
       273        0.8105        1.0848       30.00             24.51      40.8         3.64586         0.002444
       274        0.8130        1.0880       30.00             24.51      40.8         3.64178         0.002441
       275        0.8154        1.0913       30.00             24.51      40.8         3.63769         0.002438
       276        0.8179        1.0946       30.00             24.51      40.8         3.63361         0.002436
       277        0.8203        1.0978       30.00             24.51      40.8         3.62952         0.002433
       278        0.8228        1.1011       30.00             24.51      40.8         3.62544         0.002430
       279        0.8252        1.1044       30.00             24.51      40.8         3.62136         0.002427
       280        0.8277        1.1076       30.00             24.51      40.8         3.61727         0.002425
       281        0.8302        1.1109       30.00             24.51      40.8         3.61319         0.002422
       282        0.8326        1.1142       30.00             24.51      40.8         3.60910         0.002419
       283        0.8351        1.1174       30.00             24.51      40.8         3.60502         0.002417
       284        0.8375        1.1207       30.00             24.51      40.8         3.60093         0.002414
       285        0.8400        1.1240       30.00             24.51      40.8         3.59685         0.002411
       286        0.8424        1.1272       30.00             24.51      40.8         3.59276         0.002408
       287        0.8449        1.1305       30.00             24.51      40.8         3.58868         0.002406
       288        0.8473        1.1338       30.00             24.51      40.8         3.58460         0.002403
       289        0.8498        1.1370       30.00             24.51      40.8         3.58051         0.002400
       290        0.8522        1.1403       30.00             24.51      40.8         3.57643         0.002397
       291        0.8547        1.1436       30.00             24.51      40.8         3.57234         0.002395
       292        0.8571        1.1468       30.00             24.51      40.8         3.56826         0.002392
       293        0.8596        1.1501       30.00             24.51      40.8         3.56417         0.002389
       294        0.8620        1.1534       30.00             24.51      40.8         3.56009         0.002386
       295        0.8645        1.1566       30.00             24.51      40.8         3.55601         0.002384
       296        0.8669        1.1599       30.00             24.51      40.8         3.55192         0.002381
       297        0.8694        1.1632       30.00             24.51      40.8         3.54784         0.002378
       298        0.8718        1.1664       30.00             24.51      40.8         3.54375         0.002375
       299        0.8743        1.1697       30.00             24.51      40.8         3.53967         0.002373
       300        0.8768        1.1730       30.00             24.51      40.8         3.53558         0.002370
       301        0.8817        1.1780       30.00             42.00      45.8         3.52865         0.001447
       302        0.8862        1.1832       30.00             41.96      50.8         3.52167         0.000960
       303        0.8905        1.1888       30.00             41.85      55.8         3.51469         0.000908
       304        0.8946        1.1944       30.00             41.83      56.4         3.50772         0.000906
       305        0.8988        1.1999       30.00             41.83      56.4         3.50075         0.000904
